Commodity,N Rows,Train Rows,Test Rows,Holdout Start,Baseline MAE,Baseline MAPE,Baseline RMSE,CV MAE (mean),CV MAE (std),CV MAPE (mean),CV RMSE (mean),Holdout MAE,Holdout MAPE,Holdout RMSE,Beats Baseline,MAE Improvement
Rice (paddy),307,245,62,2016-02-15,0.10139511360099596,27.328362887519297,0.13510428334461622,0.04529543429625598,0.009212171860150834,13.187142656808607,0.057857984319571974,0.03269448167056333,10.807087967315649,0.04361907966633568,✅ Yes,0.06870063193043263
Maize (yellow),1112,889,223,2022-12-15,0.13832187218721873,31.008740095153215,0.1844840909671671,0.07476926203304983,0.022001510926108435,14.636445933250258,0.10025889851613594,0.060151581058748474,11.02079980015948,0.08075921034733359,✅ Yes,0.07817029112847025
Maize,3243,2594,649,2021-09-15,0.11523753855644664,31.839897228518204,0.14614556807041923,0.05530565517664797,0.013085975804408453,13.771487448094868,0.07677344087238046,0.06704025084727509,14.374225039550176,0.09017712848825048,✅ Yes,0.048197287709171546
Sorghum,2087,1669,418,2022-05-15,0.16957827192203156,33.63335000621411,0.24348844593561708,0.06951317110063142,0.020423964070660324,12.374209310070114,0.10500221495611373,0.11517678198033399,16.944034988251364,0.1617071391499697,✅ Yes,0.05440148994169758
Millet,2124,1699,425,2022-05-15,0.13284042159856968,22.492023385637914,0.18268277479188016,0.07929922260403671,0.02265955784638106,12.124739239321322,0.11174654889422908,0.11874874339828072,14.863761769800888,0.1631218642620481,✅ Yes,0.014091678200288962
Rice (local),2839,2271,568,2021-10-15,0.21093474277660323,28.244766990146292,0.2757644160075975,0.11821947088114866,0.029815471256363,15.39908648840769,0.16191425629129147,0.14385689092999587,17.483753309721866,0.20335422418534135,✅ Yes,0.06707785184660736
Rice (imported),2340,1872,468,2022-02-15,0.2246681487815306,23.228275148385293,0.29363269875566966,0.18503139689278097,0.032928225850279165,19.608312537405187,0.24145277003455234,0.1840147746886539,21.842373598345073,0.23091235135959323,✅ Yes,0.0406533740928767
Gari,1033,826,207,2022-12-15,0.33159441974464204,45.40334136415144,0.4628355664543279,0.1829807196529388,0.022438339184418184,26.885853802968008,0.25261550301979996,0.19764286426257396,29.130710133357514,0.2730288375024242,✅ Yes,0.13395155548206808
Tomatoes (local),850,680,170,2023-02-15,0.501035154480384,365.40311101302404,0.6578039169958853,0.31844679362558026,0.14550961440163473,222.06338151142535,0.43915766258245303,0.20776410755767566,95.29134969348483,0.31730893564055807,✅ Yes,0.2932710469227084
Cassava,2758,2206,552,2021-06-15,0.14277696333409062,51.67509723070795,0.22760857180036725,0.12084183793115495,0.07050212570323863,39.604364877760354,0.1793305011376778,0.210178974089848,79.0934112237847,0.2795078339929559,⚠️  No,-0.06740201075575739
Cowpeas (white),198,158,40,2023-01-15,0.28749406231080893,66.56027793761922,0.3780931714715571,0.21061719769634593,0.05300847255045049,43.44645903907754,0.2722620094506996,0.2226392408377734,64.7360338288186,0.2946735289305038,✅ Yes,0.06485482147303553
Tomatoes (navrongo),915,732,183,2022-12-15,0.3726285557986871,176.32255364715363,0.511317916473166,0.2645698773360454,0.03910586336308237,114.99708090981304,0.3809558319590193,0.25122605244474516,152.35139572020742,0.3409656394897988,✅ Yes,0.12140250335394193
Yam (puna),982,785,197,2023-01-15,0.3613636697247707,80.56947705218367,0.49112491643752876,0.20682100840551243,0.03255370134217464,40.93476070195267,0.2732850080621355,0.2545079366268353,58.73160198134645,0.3246078259454239,✅ Yes,0.10685573309793539
Onions,832,665,167,2022-12-15,0.6548248520514977,188.1357252527517,1.158947574868403,0.6477170710109273,0.4016199001651445,210.38030266749624,0.8740917880128514,0.33472125904075345,201.49197399081834,0.4801020172434434,✅ Yes,0.3201035930107442
Yam,2881,2304,577,2021-07-15,0.3814850138888889,62.41670949965913,0.5402751762476641,0.2907232615857559,0.08845090558877462,54.26408340084898,0.38891275788059454,0.3540934115009968,66.89172128426486,0.4953738864542145,✅ Yes,0.027391602387892067
Cowpeas,467,373,94,2022-11-15,0.4821888412017168,67.5784806243933,0.6595013723153553,0.4397815531348284,0.12019819193063373,60.92167429145112,0.5488053433759033,0.43028102081122693,61.15786413087315,0.5501477392103781,✅ Yes,0.051907820390489856
Soybeans,836,668,168,2023-01-15,0.6999182332582541,399.2795289616971,0.9919368873547809,0.4572132898631446,0.11241135767473916,112.15927842308227,0.6367774030478592,0.4777883136796062,168.99879276529316,0.6164679080186877,✅ Yes,0.22212991957864786
Peppers (fresh),842,673,169,2022-12-15,1.3990273483947682,215.5775886711693,1.9133692214639755,0.6518101076364771,0.15284711274964305,96.43634991269028,0.9448983905989076,0.5016868329592472,68.4880369168403,0.7881722543117667,✅ Yes,0.897340515435521
Eggplants,889,711,178,2022-11-15,0.8163853853853853,180.88468293563614,1.0887676045486547,0.5523918922893495,0.1054746225179025,163.19382902045976,0.7468247302919987,0.5640618105694019,293.3439071928541,0.7841804442758759,✅ Yes,0.25232357481598344
"Fish (mackerel, fresh)",777,621,156,2023-02-15,0.956985824742268,72.80285355716501,1.4433927656400602,0.7287740693445193,0.1680540350771895,61.04204715266095,0.9631282101880239,0.6102630594867386,71.42163965796851,0.8290096332362996,✅ Yes,0.34672276525552936
Peppers (dried),646,516,130,2022-11-15,0.766306976744186,105.91094086971864,1.1827729024866054,0.7969738822384016,0.31654897418783656,135.6706620820351,1.0895154692127078,0.7765613017441411,180.7328514750292,1.0286347539546221,⚠️  No,-0.010254324999955045
Eggs,337,269,68,2023-01-15,0.8396755952380952,44.9871854187722,1.1085313901388991,0.8819423613683954,0.37175884430108413,39.04672493908152,1.0813026361563725,0.7821688485547403,40.15950892322473,0.9714238656216245,✅ Yes,0.05750674668335487
Meat (chicken),807,645,162,2023-01-15,2.306155086848635,181.05306614418765,3.1769303112018767,1.1202259652881392,0.3347270215678213,76.5312931784686,1.4867418664419219,1.1373706412049138,67.82144552337213,1.5477947223605073,✅ Yes,1.168784445643721
Plantains (apentu),2757,2205,552,2021-10-15,3.3230079825834538,226.23487276780435,5.157972850450037,2.103203799491184,0.9593637008830209,151.27423887709364,3.303842875299602,1.727180334476372,96.23824451304021,3.018716223031701,✅ Yes,1.5958276481070817
"Meat (chicken, local)",315,252,63,2023-02-15,1.894503184713376,63.9579818778988,2.41931582948621,1.5598465100014458,0.2009318413926863,48.67372887389229,1.9845806147204794,1.764717478797494,69.74828703791562,2.3570274809312637,✅ Yes,0.129785705915882
Plantains (apem),1078,862,216,2023-01-15,8.350612813370475,649.7954234908581,14.325643281603618,4.887262545719646,2.5480403754236005,158.78970839496978,8.274731375204786,7.304910789549916,109.23189707177134,13.699945026153816,✅ Yes,1.0457020238205592
